data	label
@USER @USER 😂🤣😂🤣😂👍👌 thats a good one. I never knew Antifa were such badasses.😂😂😂😂👍 you need your own comedy special 🤣😂🤣😂	NOT
"@USER He is a Patriot"" according to the Left...."""	NOT
#Conservatives left #frustrated as #Congress passes big spending bills...  #tcot URL	NOT
@USER @USER Here come the beta liberals lmao *convo muted you can cry all day to yourselves.	OFF
@USER @USER Or he raised a hand. SMH	NOT
@USER @USER @USER @USER @USER Agreed and what I’m saying too.	NOT
@USER @USER When tRUmp posts shit like this you know that he is distracting from something else that is going on. #Distractification	OFF
@USER @USER My old ass was here URL	OFF
@USER All because she referred to POTUS as “The Donald”.  She is now “The Jourdan” because of that letter.  Cc: @USER	NOT
"@USER The perpetrator is responsible for his own actions but you are ignoring that Maxine Waters &amp; others are inciting violence.  Do consider she said that they should not be able to eat, shop or do anything in peace""... how would one survive without being able to trade?"""	OFF
@USER He can put #Kaepernick on his squad anytime. #JustDoIt	NOT
@USER Wow the guy who played the guy pitching a doggy product on Modern Family thinks he is the conscience of the nation. Also can I get Hamilton tickets?	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER So true! Poor basement dweller!!	OFF
@USER @USER Watch out u may START a BENGHAZI..	NOT
@USER @USER she became a alcoholic cealrly became a fatty has had like a year to loose the weight she is the only starlet in Hollywood that doesnt look good with a lilextra weight gonna go for a walk now and one of tays GPS stalking sheldmaidens might have orders to mac miller #TommyValhalla	OFF
@USER @USER @USER Says the guy who thinks that Labor (Australian equivalent of USA liberals) are socialists. 🙄	NOT
@USER @USER You are in your Fabulous 40’s I’d say💝	NOT
"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂"""	OFF
@USER @USER @USER New gun control laws are a waste of time &amp; energy which is better spent holding these worthless politicians accountable for their REFUSAL TO ENFORCE CURRENT LAWS.  Why create more laws they will never enforce?	OFF
"@USER A band of liars Eric has a big L"" on his forehead.  He is so disgusting.  Who votes for these people or don't they really, it has to be rigged."""	OFF
@USER Good news. I hope their advertisers are getting free ad space.	NOT
@USER Democrats haven't done anything but cover up ..so all you think you have a solution .ya don't.....you want gun control.? How about abortion control. Free medical. Free ed. Quit tripping	OFF
@USER been supporting ur game for years as u know its about time u giys was free and able to communicate like you are doing &lt;3 hopefully only up from here brother	NOT
@USER ThrOne 2 WhiLe Sitting UpSideUp Pinche YaYaY @USER URL URL	NOT
@USER You are an individual of excellent taste.	NOT
@USER Oh I love this so much and had no idea your daughter and family had been through the struggle of childhood leukemia. So happy to hear she is a healthy strong college athlete! Much love to you and yours... ❤️💪🏻❤️	NOT
@USER @USER @USER @USER @USER @USER @USER @USER How blindly ignorant you are. Shameful people with the deep thinking you lack can vote	OFF
ANTI-ANTIFA IS BALLS	OFF
@USER He is older but that's before the Cooley days	NOT
@USER When they’re reviewing plays he is insufferable	NOT
@USER @USER Liberals don't give a rats ass but having power!! Period!! They cry over everything that doesn't go their way	OFF
@USER @USER @USER @USER @USER What does it matter who I vote for..it’s the left who pushes for gun control yet portrays black men in music vids as violent gun “users”..stfu! Lmao sleeping fools	OFF
"2) I am absolutely furious with my fellow conservatives when they say, This sounds credible,"" or, ""If it's true..."" Do you guys have short-term memory that only goes back 90 days?"""	OFF
"@USER @USER @USER By saying they eat my dogs"" in correlation to bts, you are automatically relating asians to ""dog-eaters"". You know that bts doesn't eat dogs, so your comment was obviously meant to convey hate."""	NOT
@USER @USER An accusation is not an ambush.  The fact that you call it one demonstrates a sickness in your heart and a sickness of today's conservatives.	NOT
"@USER @USER @USER @USER @USER ...how you want to be defined""? PUL-EASE! When you live under a 24/7/365 MSMedia SHIT-SMEAR to the point you have Marxine Waters sending her ANTIFA minions out to threaten you in public places - you learn not to give a F*CK what the ""Pavlovian Left"" thinks. Night, night 🌙!"""	OFF
@USER well...? URL	NOT
"@USER @USER @USER Reputation? REPUTATION? She schitt her reputation away by being an ANTIFA activist! Just like good old V.I.Lenin said - a scoundrel may be useful BECAUSE they are a scoundrel""!"""	OFF
@USER Can I take you to lunch when you are in Germany?! #beauty	NOT
@USER Dick Durbin figures if he lies often enough people will start to believe him. Right out of leftist dictatorship playbook. @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER	OFF
@USER I thought it was funny. He is a great player though.	NOT
@USER @USER In poker I would definitely move all in on this Woodward bluff.  When did Bob become a shill.  Hope the C_I pays well Bobby.	NOT
@USER why do conservatives always assume that a women making these allegations is lying?	NOT
@USER Cause who bitches be playing with 😭😭😭😭 god aint give me the gift for nothing	OFF
@USER Happy Birthday again Namjoon! thank you for always sharing your thoughts and feelings with us! you are a beautiful person with a beautiful mind and heart 💜✨ ♈️ URL	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Let’s just keep on #MAGA!! 📣#MAGA!!🗽🗽🗽🇺🇸🇺🇸🇺🇸😁😁	NOT
Alaye turn if your maga don pay	OFF
@USER Well if Trumpster said it then it must be true he also have himself a 10 on handling Cuba hurricane sad piece of something he is...	OFF
@USER @USER He is one who should Not own a gun-Such a lost soul—All he Needs is  Jesus Christ ✝️	OFF
16 postal workers slaughtered in Oklahoma with 12-gauge Winchester 1300 pump-action shotgun. The NRA calls gun control research 'unethical'.	NOT
@USER He wants in the White House! URL	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER She looks like she is planning a sneak attack 😅	NOT
@USER Fun fact: rural areas with extremely high gun ownership rates has nearly-zero homicide rates while urban areas with extreme gun control (low ownership rates) has astronomically high homicide rates. Why is the correlation exactly opposite?	NOT
@USER BO is bitterly PO’d that Donald Trumps presidency has made him look like the bad president that he was.	NOT
@USER I blame @USER for inciting violence and she should be held accountable! She is a despicable disgrace.	NOT
#MAGA Why she not being prosecuted? URL	NOT
"@USER God's Major judgement is coming to Bob woodward...thou shalt not bare false witness"" ""Let no man be deceived, God will not be mocked, for whatsoever a man sows, that he will reap"" ""Touch not my annointed (appointed Trump), do them no harm"" God is not kidding!"""	NOT
@USER @USER @USER @USER Interesting when Demoncraps aren't even inventive enough to create their own cartoons.  This is originally put out by Republicans - liberals are the Koolaide drinkers and always have been. Liberals are also the scum of the earth and prove it daily through their lies	OFF
@USER @USER She is going to be Voted out in November!  Their Hateful Party is toast!	NOT
@USER @USER @USER He is a wonder dog he could have a couple doggie girlfriends	OFF
@USER @USER Liberals didn't give Juanita Broderick a chance to be heard or Keith Ellison's accuser. Can't have it both ways.	NOT
@USER bro they were laughing into her face and almost pissing their pants and i was standing beside it like wtf mind ur own business	OFF
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Now do Black Lives Matter and Antifa.	NOT
@USER @USER is broadcast sewage! URL	NOT
@USER You liberals... smh...tweeting stupid shit!  Trump order elimination of isis (Obama didn’t)....People! ..think about how people R not murder now (saved)  because we hav killed of isis	OFF
@USER 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️ they need too but he is wylin right now sitting out like this	NOT
@USER Another negative Democrat who refuses to disappear!	OFF
@USER K nvm fuck battlefield URL	OFF
@USER @USER He should just stick to sports but Liberals can't help themselves.	NOT
@USER same i just want to win so i can finally have a good pc and shit post in full body in vrc	OFF
@USER @USER She is the cutest baby I have ever seen	NOT
@USER Thank you for letting us know how you are.	NOT
"@USER @USER Yeah, poor conservatives for having eyes that see, and ears that hear.   If you're loving your brain bath , then continue on , pretty soon pedophlia will be your next great virtue to champion as you see kind loving pedo's dawn your TV set to make you march in line and resist""."""	OFF
@USER @USER Trump is maga	OFF
@USER @USER @USER Except when it comes to tyrone Woodley. Lol you ate your words eh dan. 45 mins about how great till was and why Woodley wasn't that great. What happened bud? Some fucking expert. 74-1. Stfu dan hardy.	OFF
@USER @USER And as white as antifa. (the ones you've seen)	NOT
"@USER Maybe she NEVER BELIEVED in it. Maybe she just USED &amp; FOOLED too many in the West who were TOO desperate looking for a beacon"" for their own calculative agendas. And all the while, she bided her time and calculated ... until she got to where she is now, and so her TRUE COLOURS."""	NOT
@USER @USER @USER We all know it’s not even close to bribery. She’s using that term to defend her disgusting and disgraceful decision to vote with her party over the American people. I have to wonder how much she is getting paid for the yes vote.	OFF
@USER @USER He is a farmer thay grows the stuff they make canola from and Land O'Lakes refuses to dilute their pure butter...maybe....	NOT
@USER He really bisca fool huh	OFF
@USER @USER @USER Someone should tell her that voters have to be at least 18 and be citizens. Can't imagine adults with critical thinking skills could ever vote for her again.	NOT
@USER Football is an all American sport that brings families and communities together.  It also celebrates masculinity. It seems these things are under attack today.	NOT
@USER You are changing the world	NOT
@USER @USER Well if she truly thought he was an intruder in her home I would suppose she would revert to her police training.  What sickens me is all the media hype that she is going to get off strictly because she is white and he is black.  Horrible all the way around.	NOT
@USER Bono sucks	OFF
@USER Hello... the problem with more gun control is the only people that guns are being taken away from or ‘controlled’ as you say are people like me who has the legal right to carry a gun. So before you continue to scream gun control... look at who it would affect.	NOT
@USER @USER She is diabetic 🤐	NOT
@USER A whole meta joke here would be my original tweet fuckin up the calculations.	OFF
@USER What if knowing that abortion is at stake in November mobilizes pro life forces? Kavanaugh being denied makes it critical for conservatives to maintain the Senate. Because most (R) seats are not up for election it could be a blessing.	NOT
@USER You meant to say for yourself. Now is it time to talk about gun control?	NOT
@USER Gotta keep that gun control law to get those terrorists	OFF
"...Instead of taking concrete actions to help #reunite #immigrant #children who were separated from their parents, push forward gun control legislation, or work to #repeal the Muslim travel #ban, they did Trump’s bigoted bidding without question."" #FamiliesBelongTogether #NoBan"""	NOT
@USER Another funny thing is how they refer favorably to Japan because of gun control but admonish Japan for their refugee policies 🤔🤔	NOT
A videographer who reported on the violence of Antifa was found dead due to a tragic car accident. Police now believe his death was no accident at all.  Welcome to the tolerant left.  URL	OFF
@USER Dude...what happened to you? #messedup	NOT
@USER @USER This unfortunately is the real way Democrats feel about Blacks! If they could they would put us all on the Plantation! Socialism is making citizens slaves to the Government! The Conservatives will never let that happen! This very kind of Treason is why we have the 2 Amendment!	OFF
@USER @USER Sharyl Attkisson is NOT the MSM!  She is a truth-teller.	NOT
@USER She is very beautiful	NOT
@USER Do you support our POTUS? (Please help by retweeting and following after voting!)  Follow Follow Follow 😘 #maga #kag #trump	NOT
@USER You must have an entire closet dedicated to college teams.	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Retweet to the end of time. MAGA Trump2020 and beyond.	OFF
@USER He also said he had a gatlin gun and niggas that sit on the corner like boxers between rounds	OFF
@USER Good riddance.	NOT
@USER I'll be looking for you on here election night...make sure you are on Twitter.	NOT
@USER @USER It also means her treacherous actions will seriously offend 70% of @USER who voted to #Leave all *Four Pillars* of the CORRUPT #EU. #ChuckMay #ChuckChequers #BoJo4PM	NOT
@USER I've seen people with some the most beautiful (not to mention original) art i last my eyes on. but only have 70 followers because they get buried by half-assed bullshit. all because they're not pals with someone popular	OFF
"@USER sex games will make you feel like you're actully having sex or, as ign would describe it it really makes you feel like you're fucking some whore in an alleyway"""""	OFF
@USER @USER Yes sir!	NOT
@USER @USER @USER @USER The issue is her volatile temper-she once threatened a lineswoman. Clearly the $10.5k penalty imposed was not harsh enough because she is a repeat offender. If you get caught speeding/jaywalking and are fined-odds are you think twice before doing it again	NOT
@USER @USER Doesn't mean you are just fighting for the money. He loves to fight and wants to make the most money he can while doing it.	NOT
.⁦@USER is pledging more than $1 million to support nonprofits and youth activists working to end gun violence. They’re also partnering with Michael Bloomberg to help create a coalition of business leaders who support gun control measures.  URL	OFF
Now this is how we MAGA URL	NOT
Kyky do u love me ? Are u in Anfield ? Putain la cliiimmmm #LIVPSG	NOT
@USER Zarries didn’t start this conversation! It was a larry shipper that trash talked our ship!! So how about y’all petty ass larries stay out of our mention eh?!!	OFF
@USER Right on Shaft. He is SHAFTICUS !	NOT
@USER @USER Wow!!! Never thought I'd see the left actually admitting they want to shut down free speech unless it's their own. At least they are admitting they are the  facist. After all they did create the 2 most facist groups...ANTIFA and KKK.	OFF
@USER I can’t think of a worse 3 game start for a coach at such a big time university in my life. 1-2 and almost lose to Fred Samford University lol I know it’s Sanford. But yea they still owe him whatever he is owed	NOT
@USER I’m so sorry for what you are dealing with. Hope the next place will be much better! 😊	NOT
@USER @USER @USER This is the best the Conservatives could come up with! Stop this humiliation. #GE2018	NOT
@USER @USER He is complicit in the abuse of young men. Why would he care about a woman. He make me sick.	NOT
Where is my MAGA cap?! URL	NOT
"#StopKavanaugh: Believe women, except for the 65 who support Kavanaugh""  URL #TCOT #MAGA #RedNationRising"""	NOT
@USER Goodell is the worst commissioner of any sport from any time in history	OFF
@USER She is your sister!lol	NOT
2nd highest prop tax in nation to support gov pensions 1 of 3 states where housing is worst investment More rent for less valuable housing Nations most severe increase in personal tax Illinois sucks thanks to Cook county liberals and corrupt  Mike Madigan URL	OFF
@USER Can we send this piece of 💩 to the tower? Wouldn’t it be nice if we could do as Great Britain once did. I say build the wall and tower at the same time just in time for the Hillary Clinton NONpresidential suite! Hahahahaha	OFF
@USER @USER BUT GUN CONTROL!!!	NOT
@USER Thank you Secretary Pompeo for all your hard work! You sir are a true patriot! God bless America! #MAGA	NOT
"@USER He lets her ramble on for a bit, smiling and admitting to himself that this is why he likes having Kate around. She is definitely a younger version of himself. Pretty sure they done did the do."""""	NOT
@USER @USER He is losing his mind	OFF
@USER The set-up that led to the second Hogan touchdown shows how much of a threat he is and how much defenses respect where he is on the field	NOT
@USER Ya but we saw some really good things in the preseason. Now granted I didn’t watch Bills preseason games but didn’t get the feeling there was the same buzz. Again hopefully you are right and he does play well.	NOT
@USER His fruits comes not only from his mouth; he is a liar and a deceiver. He is definitely NOT a Catholic — he likes to re-form the Church to his own image.	OFF
@USER @USER @USER @USER is not a difficult woman she is a far left leaning bitch. She has no place in unbiased commentary on any platform. Get rid of her.	OFF
@USER Never would I trust any @USER and especially @USER they sold out to the @USER and stuck Two fingers up to the People of the UK!!  #VoteLabour #GE2018NOW #WeAreCorbyn #UnitedWeStand	NOT
"@USER Suddenly BozoObama is NOT politician""...&amp; certainly NOT that HE &amp; BillAyers &amp;DISGRACED ErikHolder started Police brutality Antifa,BLM,OWS ""movements"" &amp; didn't fund our US military as B4 for 8 yrs,but GAVE WORLD SPONSER OF TERROR IRAN $170. bil... NOOO!; not ol' ISIS-LOVER 'Bama."""	NOT
@USER OMG!  Did you see that “almost” victim had a chance to shoot the “incompetent” criminal with a gun.  We need better gun control laws.	NOT
@USER @USER take your fish and get out!	NOT
@USER - both don’t support Medicare for all  - both voted against the dreamers  - both voted for the racist police brutality bill  - both voted to give Donald trump and even larger military budget .  - both didn’t do a thing on gun control  - both voted for the racist payday loans bill	OFF
@USER I believe that gun control laws should be more extensive. i feel that the government should come up with a better way to assign people guns. i agree with protecting yourself but to what point. Its alot of innocent people dying. #102/20522	NOT
@USER Bring out his Antifa criminal son to campaign for him	NOT
@USER @USER @USER There is no such thing. Where is this fascist left? ANTIFA are anarchists. They are not socialists or Democrats. You folks on the right embrace Authoritarianism and fascism. Look at Trump. He attacks all our institutions and the rule of law and fluffs Putin.	OFF
@USER Never saw it before. It’s delicious	NOT
"@USER Does this mean you don't share the left's usual view on the 2nd amendment or does the constitution as the liberals say change with the times""?"""	NOT
@USER you are a hypocritical hack. URL	OFF
@USER A recycled tweet to stir the passions of men who watch porn and strangely insult the women who make it.  Well done BB.	NOT
@USER You obviously have no clue and CLEARLY you are not American! China became the largest foreign holder of US Debt in September 2008. They have been a major holder of US  since at least 2000. YOU ARE WHATS WRIND WITH AMERICA URL	NOT
@USER @USER From some resist dork that probably refers to the POTUS as frump or drump or tfrump?  I will refer to her however I please.  Frankly she is Ms. Psychotic Leftist Activist Lunatic Dr. Ford.  Better now?	NOT
#WillieNelson laughs at conservatives on The View for suddenly being outraged by his support of Democrats URL	NOT
@USER Sit down Fredo. You are irrelevant. No one elected you. If you had minded your own business instead of trying to make yourself a player maybe you wouldn't be headed for prison. Do you realize if they take your daddy down first he cannot pardon you? Ticktock.	NOT
@USER IK never did. He is liar.	OFF
@USER He is too bitchy...  And you?! I ask a question and you dont respond    Why would this be 1 way street?	OFF
@USER If you ain’t hyping me up like the nigga in the back ima have to throw the whole friend away	OFF
@USER Charged for false charges?  Why not?	NOT
@USER Becoming..... a woman?	NOT
#ReleaseTheCures #DeclassifyFISA 🇺🇸 #ItsTime #LockThemAllUp #WWG1WGA 🇺🇸 #GreatAwakening @USER #Winning #QAnon #MAGA Why James Comey knows he's going to be indicted — 9/14/18 - YouTube URL	OFF
"@USER Agree! She is THE rock star for the ages. Proof? I'm old and love Pink. Her So What"" video is hilarious and brimming with strong woman attitude. And, she can actually sing as opposed to most of the wannabes out there now. THE BEST!"""	NOT
@USER @USER Guess that's why she's settled for being the gag-inducing spokesperson of the commercialized conservatives.	NOT
@USER I believe he is talented no matter what he performs. It's hard to put him in a category. What do you think?	NOT
@USER @USER He’s by far SC’s best option. I don’t want anyone else to start. It’s just the reality of who he is.	NOT
@USER @USER @USER @USER Take the gun violence in the cities that already have strict gun control and it's extremely low.  Gun crime has decreased at the same time gun ownership has increased.	OFF
@USER she is the only (semi?) important girl chara so ig thats who normie fans relate to? like also its teacher/student which is an obvious straight ship	NOT
@USER Wow...not even his supporters can do the math and see that he is not right for this country. Well his supporters cant do math either	OFF
@USER @USER @USER @USER I know. I think they’re the ones who’ll be surprised about that since they think all liberals want to make gun ownership illegal.	OFF
@USER @USER @USER We've had a good conversation. Many will condemnations me for my part from both sides. It does not matter. This is what gun control is about. Discussion.	NOT
@USER @USER I think the pope and some others should be prosecuted for covering up and protecting child rapists!	OFF
$5.7 Million in Taxpayer Funds for Study to Justify Sterilizing Children Who Are Gender Confused URL via @USER STERILIZE LIBERALS.	NOT
@USER You are a great fillin for @USER	NOT
@USER Conservatives try to get votes by promoting freedom and getting government out of your lives.  Deep state Dems try to get votes by triggering mass shootings and scaring people into voting to have their right to actually defend themselves taken away.	NOT
@USER Just reading this gives me anxiety about having anxiety. But it really does suck and takes more than sheer will power to overcome. Don't be afraid to seek help and ask your doctor if you need medication. There is no shame in it.	NOT
@USER Why isn’t she is custody?  I understand she cannot be in general population but she should be in custody and in some sort of holding cell.	OFF
#DueProcess not permitted for #Conservatives but #documented evidence against #Democrat can’t be believed #DoubleStandards #ConfirmKavanaughNow  URL	NOT
@USER @USER What? I have no clue what you are trying to say. I’m certainly no Trump supporter FFS. Just rational 😂  Keep on keeping on with whatever it is you are trying to achieve.	NOT
@USER @USER @USER @USER @USER Will the liberals stop wasting tax payer money with C71 which will be repealed as soon as next year if passed? Move on instead to ensure criminals are dealt with severly and illegals are banned from entry.	NOT
@USER Morrows history is he is not going to stay healthy. He's a dominant reliever but his track record is hes going to land on the DL at some point	NOT
@USER Thank you for seeing the light. #StopKanavaugh PLEASE VOTE NO. HE is NOT OK!!! Help SAVE our DEMOCRACY 🇺🇸	NOT
@USER Sorry but bloodsuckers are bad almost as bad as elves like you are dating an undead monster who cant be controlled and even if they can be controlled you'll die before her and make her have mental issues	OFF
@USER Seriously who's the dick that unfollowed	NOT
@USER Go back to Canada	NOT
@USER Bummer that you are excluding A-List members from the #AStarIsBorn special events. I guess you guys are already testing shady Moviepass tactics on us. 😒	NOT
@USER He is most impressive at corruption and lies.	OFF
@USER @USER @USER @USER @USER @USER @USER @USER This sounds as relevant as the march in Mumbai by the woke snowflakes for Gun Control😂. Abortion in India is legal and only the woman's choice is required. Take your circus elsewhere. Instead take up the issue of oppression of Hindus in India. This is at least relevant.	OFF
@USER @USER Exactly	NOT
@USER I'm not surprised. It takes a sick woman to make this type of accusations. The kind you can only find on the far left. Liberals are praying that the really weak members of the GOP like Collins and Flake will pull back their support.	NOT
🛑 Ntknetwork News 🛑 👉 'RNC Has Raised Over $250 Million for the 2018 Midterms' #MAGA￼🇺🇸#2A #Prolife URL	NOT
@USER @USER Me too!	NOT
@USER @USER Actually he is a soy boy.	OFF
"@USER @USER @USER @USER I also understand that it is not an insult but the way Nguni languages are spoken, it can't be Msuthu"" but has to be ""Umsuthu"" which in English will loosely translate to ""s(he) is Mosotho"" and in Sesotho will be ""ke Mosotho"", can't be ""Muntu"" but ""Umuntu"""""	NOT
@USER What exactly does he think he is going to do? He should be careful about how he goes around issuing sly theats.	NOT
@USER @USER @USER Who is this? She is truly a little goddess! 💕	NOT
@USER Guilty?	NOT
@USER We don't need to talk about gun control; we need to talk about criminal control.	NOT
@USER @USER @USER Rivera is shit. He is the last one left. Our problems run through him. The day we fire @USER the better off we will be	NOT
(i love lau she is the cutest don't @ me uwu)	NOT
@USER       Thank you for your fortitude and perseverance. Please give McConnell a kick in the butt from some of us conservatives.	OFF
@USER That image tells the story of generations of people self medicating to manage distress. Can't count the number of people lost and like you say too many can't see beyond the sickening labels.	NOT
@USER My coworker has a sick ass one for work	OFF
@USER @USER I SHITTED/SHAT YTD AND LOST 0.6KG CAN U BELIEVE IT	OFF
@USER @USER Yeah. Well you don't deserve to be free!  Funny how this started on slaves and ended up on you wanting to be one!  Be sure and thank the Dems for creating the KKK and ANTIFA!   Their contributions to the fabric of American politics.	NOT
@USER Well you are and we love you	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Exactly!	NOT
🚂 #MAGA #Patriot #Qanon #WalkAway #WWG1WGA #GodsArmy #TheGreatAwakening #JESUSLIVES 🇺🇸 @USER @USER #CatchTheRedWave #VoteRed PLEASE SIGN TO REMOVE CONSERVATORSHIP THAT OBAMA PUT ON FANNIE MAE &amp; FREDDIE URL	NOT
@USER Do not think so maybe do a little research buddy!	OFF
@USER @USER @USER Why? Don’t get it? Must be all the liberals that left California for Texas for jobs. They are trying to make Texas like California . Poor natives	NOT
@USER @USER @USER @USER @USER @USER She has no credibility. Lives in a $4 million mansion and associates with Antifa. Who would stab her in the back anyway.	NOT
@USER How many more??? This country MUST address sensible gun control! This is more than ENOUGH!!!  VOTE BLUE! GET THIS GARBAGE CLEANED OFF OUR STREETS!	OFF
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I dont think so..it would mean he is in trouble.  Dont wish that on anyone.  Isn't that where the Cumm Inn is at?	OFF
@USER @USER @USER No just imagining if we found a picture of Bret holding a woman like this. Liberals will go insane	OFF
"@USER I'd argue it's pointless to keep asking him the questions in the first place, what else is he supposed to say? And speaking of running with a quote, I don't believe I said I liked it in any way. You can tho"" 😒 . See, this is how things get misconstrued."""	NOT
@USER Considering Puerto  Rico didn't have electricity on 70% of the island before the hurricane....im wondering who left her brain on the tarmac in the sun for a year?  Probably Trump or Baron I assume.	NOT
@USER It’s about time. A civilised nation needs tougher gun control. Man only backwards countries don’t	NOT
@USER @USER He can admit that 3000 Americans died on his watch. You should remind him he is President of all of us.	NOT
@USER Speaks volumes to the shift of political ideology in Canada when a sitting Liberal MP identifies more with the the Opposition Conservatives.  Both parties have shifted too far left.	NOT
#tcot #MAGA Complacency kills. Vote in November URL	OFF
@USER thoughts on Sandy Alcantara?  Seems like he is pitching well	NOT
@USER @USER I will retweet anything to do with the terrorists that call themselves antifa	NOT
@USER If he survived he obviously doesnt know anything about gun control. Are we sure he is a lib?	NOT
@USER @USER Hope he is feeling better soon.	NOT
@USER @USER @USER @USER @USER @USER Brexit is the single most important political issue of the day. The Mayor of London with the biggest direct democratic mandate in the UK needs to have a view.	NOT
"@USER @USER @USER death threats"". Where are the police complaint forms, where are the field notes from the police, where are the recordings? Sounds to me like #Antifa is staging it to push the narrative of the #SocialistDemocrats URL"	NOT
@USER @USER This is ridiculous. She is going to have to vote for him at this point or it will be apparent she accepts bribes.	OFF
@USER And ... what?	NOT
@USER @USER @USER @USER @USER CANNOT CONTAIN HIMSELF That is why HE IS UNWELCOME AT A SCHOOL without an escort (and a hall pass).  He is WELL BEHIND HIS OPPONENT in his re-election campaign. @USER can't work well or play well with others.  IT'S TIME FOR A CHANGE!  @USER  DISTRICT D	OFF
@USER Do you think that bothers the evil Nazi democrats/liberals they tried to rig a Presidential election and framing Kavanaugh is just another act of these evil Nazi democrats /liberals politicians to destroy Democracy and America ! #Walkaway # Make America Great!!!!!!!!!!!!!!	OFF
@USER Fuck you it’s 3	OFF
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER But that interferes with antifa’s goals!  Because they want to be feared?	NOT
@USER Please tell that to your fellow Soros Lackies of Antifa	NOT
@USER you are not welcome	OFF
@USER honestly ya when i talk about my opinions on gun control ppl are taken aback. 😂	NOT
@USER @USER He shall know your ways as if born to them.	NOT
@USER @USER But that’s not convenient for Democrats who must destroy a man in front of his wife and children for the sake of power- Power that allows them to weaponize the FBI - CIA- NSA -IRS- all used against conservatives !!	OFF
@USER @USER Yes she is!!!	NOT
@USER Now that's what I call gun control!! 😉	NOT
@USER Right. Punish the GOP because of two cucks. That's the ticket to getting more conservatives out there.	NOT
